COUNTRY,EUI_democracy,freedom_house
Argentina,7.02,85
Australia,9.09,97
Austria,8.29,93
Belgium,7.64,96
Brazil,6.86,75
Canada,9.22,98
Chile,8.08,90
China,2.26,10
Colombia,7.13,66
Cyprus,7.59,94
Czechia,7.69,91
Denmark,9.22,97
Egypt,3.06,21
Estonia,7.9,94
Finland,9.25,100
France,8.12,90
Germany,8.68,94
Greece,7.43,88
Hungary,6.63,70
Iceland,9.58,94
India,6.9,71
Indonesia,6.48,61
Ireland,9.24,97
Israel,7.86,76
Italy,7.52,89
Japan,7.99,96
Jordan,3.93,37
"Korea, South",8,83
Kuwait,3.93,36
Latvia,7.49,89
Lithuania,7.5,91
Luxembourg,8.81,98
Malaysia,7.16,52
Malta,7.95,90
Mexico,6.09,62
Morocco,5.1,37
Netherlands,9.01,99
New Zealand,9.26,97
Norway,9.87,100
Peru,6.6,72
Philippines,6.64,59
Poland,6.62,84
Portugal,8.03,96
Puerto Rico,,
Qatar,3.19,25
Russia,3.11,20
Saudi Arabia,1.93,7
Singapore,6.02,50
Slovakia,7.17,88
Slovenia,7.5,94
South Africa,7.24,79
Spain,8.18,92
Sweden,9.39,100
Switzerland,9.03,96
Thailand,6.32,32
Turkey,4.09,32
United Arab Emirates,2.76,17
United Kingdom,8.52,94
US,7.96,86
Vietnam,3.08,20
